,date,category,connections
665,2023-11-25,bodies of water,"['canal', 'channel', 'sound', 'strait']"
666,2023-11-25,aggregate size,"['amount', 'number', 'quantity', 'volume']"
667,2023-11-25,secluded,"['hidden', 'private', 'remote', 'secret']"
668,2023-11-26,___ league,"['ivy', 'justice', 'little', 'premier']"
669,2023-11-26,financial terms,"['capital', 'equity', 'interest', 'stock']"
670,2023-11-26,blender buttons,"['chop', 'grind', 'pulse', 'puree']"
671,2023-11-26,municipalities,"['city', 'county', 'town', 'village']"
672,2023-11-27,things that are “sticky”,"['glue', 'gum', 'tape', 'stick']"
673,2023-11-27,mojito ingredients,"['lime', 'mint', 'rum', 'soda']"
674,2023-11-27,whole amount,"['count', 'gross', 'sum', 'total']"
675,2023-11-27,carry a tune,"['hum', 'sing', 'scat', 'whistle']"
676,2023-11-28,bean ___,"['bag', 'counter', 'dip', 'sprout']"
677,2023-11-28,fill to excess,"['cram', 'jam', 'pack', 'stuff']"
678,2023-11-28,land surrounded by water,"['atoll', 'bar', 'island', 'key']"
679,2023-11-28,rooms in a house,"['bedroom', 'den', 'kitchen', 'study']"
680,2023-11-29,baddie,"['dog', 'heel', 'jerk', 'snake']"
681,2023-11-29,dog commands,"['come', 'down', 'sit', 'stay']"
682,2023-11-29,musical instruments,"['bass', 'harp', 'horn', 'organ']"
683,2023-11-29,foot parts,"['arch', 'ball', 'sole', 'toe']"
684,2023-11-30,___ cheese,"['cottage', 'cream', 'say', 'string']"
685,2023-11-30,sidekicks,"['goose', 'hobbes', 'robin', 'watson']"
686,2023-11-30,hitchcock movies,"['birds', 'notorious', 'rebecca', 'rope']"
687,2023-11-30,avoid,"['dodge', 'duck', 'escape', 'skirt']"
688,2023-12-01,kinds of wrenches,"['allen', 'crescent', 'monkey', 'socket']"
689,2023-12-01,portion of profit,"['cut', 'piece', 'share', 'take']"
690,2023-12-01,ways to remove hair,"['shave', 'thread', 'tweeze', 'wax']"
691,2023-12-01,places to shop,"['mall', 'market', 'outlet', 'store']"
692,2023-12-02,___ jam,"['nba', 'paper', 'pearl', 'traffic']"
693,2023-12-02,restrict,"['cap', 'check', 'curb', 'limit']"
694,2023-12-02,circular shapes,"['band', 'circle', 'hoop', 'ring']"
695,2023-12-02,containers,"['basket', 'bin', 'chest', 'hamper']"
696,2023-12-03,"excite, with “up”","['amp', 'fire', 'hype', 'pump']"
697,2023-12-03,connect,"['couple', 'hitch', 'link', 'tie']"
698,2023-12-03,related to sound/hearing,"['acoustic', 'auditory', 'heard', 'sonic']"
699,2023-12-03,monthly bills,"['cable', 'electric', 'gas', 'water']"
700,2023-12-04,head of ___,"['hair', 'lettuce', 'state', 'steam']"
701,2023-12-04,small imperfection,"['chip', 'mark', 'nick', 'scratch']"
702,2023-12-04,"assure, as a win","['clinch', 'guarantee', 'lock', 'secure']"
703,2023-12-04,unit of bread,"['baguette', 'bun', 'loaf', 'roll']"
704,2023-12-05,___ crane,"['construction', 'frasier', 'paper', 'whooping']"
705,2023-12-05,tv shows with happy-sounding names,"['cheers', 'euphoria', 'felicity', 'glee']"
706,2023-12-05,bookstore sections,"['fiction', 'humor', 'poetry', 'travel']"
707,2023-12-05,enormous,"['big', 'giant', 'great', 'huge']"
708,2023-12-06,zodiac sign beginnings,"['can', 'gem', 'lib', 'tau']"
709,2023-12-06,record labels,"['capitol', 'columbia', 'virgin', 'island']"
710,2023-12-06,zodiac symbols,"['bull', 'crab', 'scales', 'twins']"
711,2023-12-06,found on sheet music,"['clef', 'note', 'rest', 'staff']"
712,2023-12-07,___-___,"['boo', 'pom', 'tom', 'yo']"
713,2023-12-07,in the nato alphabet,"['alfa', 'bravo', 'romeo', 'tango']"
714,2023-12-07,cable channels,"['bet', 'e', 'hallmark', 'usa']"
715,2023-12-07,state abbreviations,"['hi', 'la', 'ma', 'ok']"
716,2023-12-08,superhero last names,"['banner', 'prince', 'stark', 'wayne']"
717,2023-12-08,express,"['air', 'speak', 'state', 'voice']"
718,2023-12-08,absolute,"['pure', 'sheer', 'total', 'utter']"
719,2023-12-08,decline,"['ebb', 'fade', 'flag', 'wane']"
720,2023-12-09,sticky ___,"['fingers', 'note', 'rice', 'wicket']"
721,2023-12-09,kinds of cooking oil,"['corn', 'olive', 'palm', 'peanut']"
722,2023-12-09,hardware fasteners,"['bolt', 'nail', 'rivet', 'screw']"
723,2023-12-09,ice cream treats,"['float', 'shake', 'split', 'sundae']"
724,2023-12-10,jump into the air,"['bound', 'leap', 'spring', 'vault']"
725,2023-12-10,wrap around in a circle,"['coil', 'spiral', 'twist', 'wind']"
726,2023-12-10,something easy to do,"['breeze', 'cinch', 'picnic', 'snap']"
727,2023-12-10,parts of a river,"['bank', 'bed', 'delta', 'mouth']"
728,2023-12-11,things that are delivered,"['baby', 'blow', 'package', 'speech']"
729,2023-12-11,shoe parts,"['eyelet', 'lace', 'sole', 'tongue']"
730,2023-12-11,come down to rest,"['perch', 'roost', 'settle', 'land']"
731,2023-12-11,luxurious fabrics,"['chiffon', 'satin', 'silk', 'velvet']"
732,2023-12-12,___land countries,"['ice', 'ire', 'fin', 'nether']"
733,2023-12-12,pinball machine components,"['ball', 'bumper', 'flipper', 'plunger']"
734,2023-12-12,follow,"['shadow', 'tail', 'track', 'trail']"
735,2023-12-12,murky condition,"['cloud', 'fog', 'haze', 'mist']"
736,2023-12-13,”-ough” words that don’t rhyme,"['bough', 'cough', 'dough', 'tough']"
737,2023-12-13,indecent,"['bawdy', 'blue', 'coarse', 'risque']"
738,2023-12-13,“i give!”,"['enough', 'mercy', 'stop', 'uncle']"
739,2023-12-13,golf course parts,"['bunker', 'fairway', 'green', 'rough']"
740,2023-12-14,silver ___,"['fox', 'lining', 'screen', 'spoon']"
741,2023-12-14,separate,"['divide', 'fork', 'part', 'split']"
742,2023-12-14,sports venues,"['arena', 'bowl', 'dome', 'field']"
743,2023-12-14,pester,"['badger', 'bug', 'hound', 'nag']"
744,2023-12-15,swindler,"['cheat', 'crook', 'quack', 'shark']"
745,2023-12-15,national symbols,"['anthem', 'flag', 'motto', 'seal']"
746,2023-12-15,get low,"['crouch', 'duck', 'squat', 'stoop']"
747,2023-12-15,curmudgeon,"['crab', 'crank', 'grouch', 'grump']"
748,2023-12-16,onomatopoeia,"['bang', 'plop', 'splash', 'thud']"
749,2023-12-16,make happy,"['amuse', 'delight', 'please', 'tickle']"
750,2023-12-16,scheme,"['plot', 'ploy', 'ruse', 'trick']"
751,2023-12-16,farm tools,"['hoe', 'plow', 'rake', 'sickle']"
752,2023-12-17,funny ___,"['bone', 'business', 'girl', 'pages']"
753,2023-12-17,used to build a snowman,"['carrot', 'coal', 'snow', 'sticks']"
754,2023-12-17,"boldness, figuratively","['gall', 'guts', 'nerve', 'stones']"
755,2023-12-17,reserve for later,"['bank', 'save', 'stash', 'store']"
756,2023-12-18,___ hour,"['amateur', 'eleventh', 'happy', 'rush']"
757,2023-12-18,avenues in n.y.c.,"['broadway', 'fifth', 'madison', 'park']"
758,2023-12-18,primary,"['chief', 'first', 'main', 'principal']"
759,2023-12-18,brief moment,"['flash', 'jiffy', 'second', 'wink']"
760,2023-12-19,two letters + number,"['canine', 'freight', 'often', 'stone']"
761,2023-12-19,attraction,"['appeal', 'charm', 'draw', 'pull']"
762,2023-12-19,comedian’s output,"['bit', 'joke', 'routine', 'sketch']"
763,2023-12-19,accessories,"['belt', 'bracelet', 'tie', 'watch']"
764,2023-12-20,cartoon mice,"['itchy', 'jerry', 'pinky', 'speedy']"
765,2023-12-20,wee,"['dinky', 'little', 'minute', 'slight']"
766,2023-12-20,book sections,"['appendix', 'chapter', 'index', 'preface']"
767,2023-12-20,contact via phone,"['buzz', 'call', 'dial', 'ring']"
768,2023-12-21,___ valley,"['death', 'hidden', 'silicon', 'uncanny']"
769,2023-12-21,what “i” might mean,"['iodine', 'iota', 'myself', 'one']"
770,2023-12-21,shepherd,"['direct', 'guide', 'lead', 'steer']"
771,2023-12-21,seen in a laundry room,"['dryer', 'hamper', 'iron', 'washer']"
772,2023-12-22,animal homophones,"['dear', 'hair', 'hoarse', 'wail']"
773,2023-12-22,interval of time,"['period', 'spell', 'stretch', 'while']"
774,2023-12-22,bee creations,"['comb', 'hive', 'honey', 'wax']"
775,2023-12-22,classic halloween costumes,"['angel', 'clown', 'pirate', 'witch']"
776,2023-12-23,___berry,"['blue', 'goose', 'rasp', 'straw']"
777,2023-12-23,"little bit, in a recipe","['dash', 'drop', 'pinch', 'splash']"
778,2023-12-23,willing to participate,"['down', 'game', 'in', 'on board']"
779,2023-12-23,means of transportation,"['boat', 'car', 'plane', 'train']"
780,2023-12-24,things to blow on for wishes/luck,"['candle', 'dandelion', 'dice', 'eyelash']"
781,2023-12-24,statue of liberty features,"['crown', 'robe', 'tablet', 'torch']"
782,2023-12-24,cuts of pork,"['belly', 'chop', 'hock', 'shoulder']"
783,2023-12-24,gentle,"['light', 'mellow', 'mild', 'soft']"
784,2023-12-25,secret ___,"['agent', 'code', 'santa', 'sauce']"
785,2023-12-25,oomph,"['energy', 'fire', 'juice', 'zip']"
786,2023-12-25,basic geometric objects,"['line', 'point', 'ray', 'segment']"
787,2023-12-25,darling,"['baby', 'boo', 'dear', 'love']"
788,2023-12-26,things you can do to your nose,"['blow', 'hold', 'pick', 'thumb']"
789,2023-12-26,restrain,"['check', 'curb', 'limit', 'stem']"
790,2023-12-26,paper in a book,"['folio', 'leaf', 'page', 'sheet']"
791,2023-12-26,road names,"['alley', 'drive', 'lane', 'street']"
792,2023-12-27,___ pepper,"['bell', 'black', 'dr', 'ghost']"
793,2023-12-27,art mediums,"['charcoal', 'ink', 'paint', 'pastel']"
794,2023-12-27,name prefixes,"['gen', 'ms', 'prof', 'rev']"
795,2023-12-27,indication of things to come,"['message', 'omen', 'sign', 'warning']"
796,2023-12-28,jazz legends,"['hancock', 'holiday', 'monk', 'parker']"
797,2023-12-28,birds,"['cardinal', 'jay', 'lark', 'swift']"
798,2023-12-28,move quickly,"['bolt', 'dart', 'dash', 'zip']"
799,2023-12-28,parts of a car,"['bumper', 'hood', 'tire', 'trunk']"
800,2023-12-29,___ george,"['boy', 'by', 'curious', 'saint']"
801,2023-12-29,letter spellings,"['bee', 'ex', 'gee', 'jay']"
802,2023-12-29,"cool, in ’80s slang","['bad', 'fly', 'fresh', 'rad']"
803,2023-12-29,shirts,"['crop', 'polo', 'tank', 'tee']"
804,2023-12-30,___ trap,"['bear', 'sand', 'speed', 'tourist']"
805,2023-12-30,heteronyms,"['bass', 'dove', 'desert', 'wind']"
806,2023-12-30,sequence,"['chain', 'series', 'string', 'train']"
807,2023-12-30,black-and-white animals,"['orca', 'panda', 'skunk', 'zebra']"
808,2023-12-31,happy new year!,"['ball', 'countdown', 'fireworks', 'kiss']"
809,2023-12-31,places in france,"['champagne', 'dijon', 'nice', 'tours']"
810,2023-12-31,"sharpness, as of an image","['clarity', 'definition', 'detail', 'resolution']"
811,2023-12-31,organization,"['club', 'group', 'party', 'team']"
812,2024-01-01,w + vowel sound,"['way', 'wee', 'why', 'whoa']"
813,2024-01-01,"classic game shows, familiarly","['feud', 'millionaire', 'pyramid', 'wheel']"
814,2024-01-01,kinds of salads,"['caesar', 'greek', 'green', 'wedge']"
815,2024-01-01,gardening nouns/verbs,"['plant', 'seed', 'water', 'weed']"
816,2024-01-02,small ___,"['fry', 'talk', 'wonder', 'world']"
817,2024-01-02,baseball stats,"['double', 'hit', 'run', 'walk']"
818,2024-01-02,obstruct,"['block', 'clog', 'jam', 'stop']"
819,2024-01-02,b.l.t. ingredients,"['bread', 'bacon', 'lettuce', 'tomato']"
820,2024-01-03,rappers minus first letter,"['40', 'cole', 'pain', 'tip']"
821,2024-01-03,"select, as a box on a form","['check', 'mark', 'tick', 'x']"
822,2024-01-03,hidden listening devices,"['bug', 'mike', 'tap', 'wire']"
823,2024-01-03,move through the air,"['float', 'fly', 'glide', 'soar']"
824,2024-01-04,lucky ___,"['break', 'charm', 'duck', 'strike']"
825,2024-01-04,"cool, in slang","['fire', 'lit', 'sick', 'tight']"
826,2024-01-04,dating app actions,"['block', 'match', 'message', 'swipe']"
827,2024-01-04,gift-giving accessories,"['bow', 'box', 'card', 'wrapping']"
828,2024-01-05,what “x” might mean,"['adult', 'kiss', 'ten', 'times']"
829,2024-01-05,words for specific quantities,"['dozen', 'gross', 'pair', 'score']"
830,2024-01-05,apex,"['height', 'max', 'peak', 'top']"
831,2024-01-05,playfully bother,"['josh', 'kid', 'rib', 'tease']"
832,2024-01-06,___ ball,"['crystal', 'disco', 'foul', 'gutter']"
833,2024-01-06,things to pick,"['afro', 'bone', 'fight', 'lock']"
834,2024-01-06,move back and forth,"['rock', 'sway', 'swing', 'wave']"
835,2024-01-06,strong smell,"['funk', 'musk', 'odor', 'tang']"
836,2024-01-07,___ tooth,"['baby', 'eye', 'sweet', 'wisdom']"
837,2024-01-07,something exemplary,"['beauty', 'gem', 'marvel', 'peach']"
838,2024-01-07,kinds of exams,"['bar', 'final', 'oral', 'physical']"
839,2024-01-07,tech companies,"['alphabet', 'amazon', 'apple', 'meta']"
840,2024-01-08,shapes of capital greek letters,"['circle', 'horseshoe', 'pitchfork', 'triangle']"
841,2024-01-08,seen on a golf course,"['cart', 'club', 'hole', 'tee']"
842,2024-01-08,"long, skinny objects","['pole', 'rod', 'staff', 'stick']"
843,2024-01-08,things that are orange,"['basketball', 'carrot', 'goldfish', 'pumpkin']"
844,2024-01-09,titular fictional detectives,"['magnum', 'monk', 'shaft', 'tracy']"
845,2024-01-09,things that make you sneeze,"['dust', 'pepper', 'pollen', 'smoke']"
846,2024-01-09,"elements of cooking, per samin nosrat","['salt', 'fat', 'acid', 'heat']"
847,2024-01-09,cleaning supplies,"['broom', 'mop', 'rag', 'sponge']"
848,2024-01-10,ways to prepare cheese,"['crumble', 'melt', 'shred', 'slice']"
849,2024-01-10,things seen at a casino,"['cards', 'chips', 'dice', 'slots']"
850,2024-01-10,found around a fireplace,"['flue', 'grate', 'log', 'poker']"
851,2024-01-10,bit of magic,"['charm', 'curse', 'hex', 'spell']"
852,2024-01-11,___ pitch,"['elevator', 'fever', 'perfect', 'sales']"
853,2024-01-11,“ph” words that also work with “f”,"['phat', 'phew', 'philly', 'phish']"
854,2024-01-11,all-timer,"['great', 'hero', 'icon', 'legend']"
855,2024-01-11,states of matter,"['gas', 'liquid', 'plasma', 'solid']"
856,2024-01-12,color homophones,"['blew', 'choral', 'read', 'rows']"
857,2024-01-12,"parts of a car, informally","['dash', 'shock', 'tank', 'wheel']"
858,2024-01-12,section of one’s life,"['chapter', 'period', 'phase', 'stage']"
859,2024-01-12,topic of discussion,"['issue', 'matter', 'point', 'subject']"
860,2024-01-13,postpone,"['hold', 'punt', 'stall', 'table']"
861,2024-01-13,american football positions,"['center', 'end', 'safety', 'tackle']"
862,2024-01-13,preside over,"['chair', 'direct', 'lead', 'run']"
863,2024-01-13,credentials for entry,"['badge', 'invite', 'pass', 'ticket']"
864,2024-01-14,"legwear, in the singular","['jean', 'pant', 'short', 'tight']"
865,2024-01-14,male animals,"['buck', 'bull', 'jack', 'tom']"
866,2024-01-14,thieve,"['pinch', 'rob', 'steal', 'swipe']"
867,2024-01-14,things to pay,"['bill', 'check', 'invoice', 'tab']"
868,2024-01-15,pea ___,"['coat', 'green', 'pod', 'soup']"
869,2024-01-15,medicine formats,"['capsule', 'cream', 'syrup', 'tablet']"
870,2024-01-15,protective barrier,"['buffer', 'cushion', 'pad', 'shield']"
871,2024-01-15,list of candidates,"['ballot', 'roster', 'slate', 'ticket']"
872,2024-01-16,words spelled with an upside-down calculator,"['boob', 'eggshell', 'giggle', 'hello']"
873,2024-01-16,tilt to one side,"['cant', 'lean', 'list', 'slope']"
874,2024-01-16,inside info,"['dope', 'scoop', 'skinny', 'word']"
875,2024-01-16,deceive,"['con', 'dupe', 'fool', 'trick']"
876,2024-01-17,radio hall of fame members,"['glass', 'gross', 'king', 'stern']"
877,2024-01-17,adjective intensifiers,"['awful', 'pretty', 'rather', 'real']"
878,2024-01-17,chemistry terms,"['base', 'bond', 'element', 'solution']"
879,2024-01-17,data set data,"['mean', 'median', 'mode', 'range']"
880,2024-01-18,___ letter,"['chain', 'cover', 'love', 'scarlet']"
881,2024-01-18,colors in brazil’s flag,"['blue', 'green', 'white', 'yellow']"
882,2024-01-18,foremost,"['main', 'paramount', 'prime', 'supreme']"
883,2024-01-18,show off,"['grandstand', 'peacock', 'posture', 'strut']"
884,2024-01-19,words in tongue twisters,"['fuzzy', 'peppers', 'seashells', 'woodchuck']"
885,2024-01-19,“phooey!”,"['curses', 'darn', 'rats', 'shoot']"
886,2024-01-19,leave high and dry,"['desert', 'ditch', 'maroon', 'strand']"
887,2024-01-19,sundae toppings,"['cherry', 'fudge', 'nuts', 'sprinkles']"
888,2024-01-20,baby ___,"['boom', 'carrot', 'shower', 'talk']"
889,2024-01-20,kinds of dance,"['modern', 'salsa', 'swing', 'tap']"
890,2024-01-20,move with speed,"['blaze', 'fly', 'race', 'tear']"
891,2024-01-20,decline,"['dip', 'drop', 'fall', 'sink']"
892,2024-01-21,units of vegetables,"['bulb', 'ear', 'head', 'stalk']"
893,2024-01-21,parts of an airplane,"['cabin', 'engine', 'nose', 'wing']"
894,2024-01-21,things made of wax,"['candle', 'crayon', 'honeycomb', 'seal']"
895,2024-01-21,rip off,"['fleece', 'hose', 'rob', 'stiff']"
896,2024-01-22,___ year,"['gap', 'leap', 'light', 'school']"
897,2024-01-22,rubber stamp words,"['approved', 'paid', 'urgent', 'void']"
898,2024-01-22,dental terms,"['cavity', 'crown', 'filling', 'plaque']"
899,2024-01-22,symbolic rods,"['baton', 'scepter', 'staff', 'wand']"
900,2024-01-23,pass the ___,"['bar', 'buck', 'time', 'torch']"
901,2024-01-23,symbols above numbers on a keyboard,"['at', 'dollar', 'percent', 'pound']"
902,2024-01-23,excellent,"['fine', 'prime', 'quality', 'sterling']"
903,2024-01-23,bring into being,"['coin', 'create', 'devise', 'invent']"
904,2024-01-24,words pronounced differently with accent marks,"['expose', 'pate', 'resume', 'rose']"
905,2024-01-24,familial nicknames,"['dada', 'grammy', 'mum', 'poppy']"
906,2024-01-24,parts of the eye,"['cone', 'iris', 'lens', 'pupil']"
907,2024-01-24,smartphone features beginning with “c”,"['calculator', 'calendar', 'camera', 'clock']"
908,2024-01-25,words beginning with body parts,"['handsome', 'hippo', 'legend', 'lipid']"
909,2024-01-25,"impose, as a penalty","['assess', 'charge', 'fine', 'levy']"
910,2024-01-25,pictograph,"['character', 'glyph', 'icon', 'symbol']"
911,2024-01-25,of-the-moment,"['big', 'hot', 'in', 'popular']"
912,2024-01-26,___ bunny,"['bad', 'bugs', 'dust', 'honey']"
913,2024-01-26,original monopoly tokens,"['boot', 'iron', 'thimble', 'top hat']"
914,2024-01-26,hard hit,"['blow', 'lick', 'sock', 'strike']"
915,2024-01-26,baseball equipment,"['ball', 'base', 'bat', 'glove']"
916,2024-01-27,silent “w”,"['answer', 'two', 'wrist', 'wrong']"
917,2024-01-27,sought after in “the wizard of oz”,"['brain', 'courage', 'heart', 'home']"
918,2024-01-27,look after,"['guard', 'mind', 'tend', 'watch']"
919,2024-01-27,hurt,"['ache', 'burn', 'smart', 'sting']"
920,2024-01-28,inside a scrabble box,"['bag', 'board', 'racks', 'tiles']"
921,2024-01-28,modifiers meaning “small”,"['baby', 'mini', 'pocket', 'toy']"
922,2024-01-28,“can i get your ___?” (phone info request),"['cell', 'contact', 'digits', 'number']"
923,2024-01-28,highest point,"['crest', 'peak', 'summit', 'vertex']"
924,2024-01-29,words with “fruit”,"['bread', 'dragon', 'jack', 'passion']"
925,2024-01-29,tennis scores,"['ad', 'all', 'deuce', 'love']"
926,2024-01-29,romantic twosome,"['couple', 'item', 'pair', 'thing']"
927,2024-01-29,do some marketing,"['pitch', 'plug', 'promote', 'push']"
928,2024-01-30,power-ups in super mario world,"['feather', 'flower', 'mushroom', 'star']"
929,2024-01-30,crescent-shaped things,"['banana', 'croissant', 'moon', 'sickle']"
930,2024-01-30,newspaper names,"['chronicle', 'herald', 'register', 'sun']"
931,2024-01-30,hit hard,"['bang', 'hammer', 'pound', 'slam']"
932,2024-01-31,___ pit,"['barbecue', 'orchestra', 'snake', 'tar']"
933,2024-01-31,rhymes,"['choir', 'fire', 'liar', 'fryer']"
934,2024-01-31,booked for a wedding,"['band', 'caterer', 'florist', 'officiant']"
935,2024-01-31,merriment,"['cheer', 'glee', 'festivity', 'mirth']"
936,2024-02-01,wrinkly things,"['brain', 'prune', 'pug', 'walnut']"
937,2024-02-01,enthusiast,"['buff', 'fan', 'lover', 'nut']"
938,2024-02-01,muscular,"['built', 'jacked', 'ripped', 'swole']"
939,2024-02-01,make shorter,"['clip', 'cut', 'pare', 'trim']"
940,2024-02-02,___wood,"['dog', 'drift', 'holly', 'sandal']"
941,2024-02-02,homophones,"['holey', 'holi', 'holy', 'wholly']"
942,2024-02-02,features of a belt,"['buckle', 'hole', 'loop', 'strap']"
943,2024-02-02,time off,"['break', 'holiday', 'leave', 'recess']"
944,2024-02-03,colors minus their first letters,"['ink', 'lack', 'old', 'range']"
945,2024-02-03,classic dog names,"['fluffy', 'rex', 'rover', 'spot']"
946,2024-02-03,farm fixtures,"['coop', 'pen', 'stable', 'sty']"
947,2024-02-03,commercial organization,"['agency', 'company', 'enterprise', 'firm']"
948,2024-02-04,martini specifications,"['dirty', 'dry', 'twist', 'up']"
949,2024-02-04,comedian’s performance,"['act', 'bit', 'routine', 'set']"
950,2024-02-04,unexciting,"['boring', 'dull', 'mundane', 'vanilla']"
951,2024-02-04,drinks with caffeine,"['cocoa', 'coffee', 'mate', 'tea']"
952,2024-02-05,city homophones,"['deli', 'niece', 'roam', 'soul']"
953,2024-02-05,rock & roll hall of fame inductees,"['heart', 'madonna', 'prince', 'queen']"
954,2024-02-05,ecclesiastical titles,"['bishop', 'cardinal', 'pastor', 'prior']"
955,2024-02-05,"""give me a break!""","['brother', 'lord', 'please', 'sheesh']"
956,2024-02-06,what “o” might mean,"['hug', 'of', 'oxygen', 'zero']"
957,2024-02-06,kinds of blond,"['dirty', 'honey', 'platinum', 'strawberry']"
958,2024-02-06,euphemisms for flatulence,"['gas', 'stinker', 'toot', 'wind']"
959,2024-02-06,"ostentatious, as an outfit","['bright', 'flashy', 'garish', 'loud']"
960,2024-02-07,fancy ___,"['feast', 'free', 'pants', 'that']"
961,2024-02-07,boxing maneuvers,"['bob', 'cross', 'hook', 'weave']"
962,2024-02-07,basic two-dimensional shapes,"['circle', 'diamond', 'square', 'triangle']"
963,2024-02-07,sea creatures,"['crab', 'ray', 'sponge', 'squid']"
964,2024-02-08,classic tattoos,"['anchor', 'dragon', 'heart', 'rose']"
965,2024-02-08,wallop,"['belt', 'clock', 'deck', 'slug']"
966,2024-02-08,card games,"['bridge', 'gin', 'spit', 'war']"
967,2024-02-08,archery equipment,"['arrow', 'bow', 'quiver', 'target']"
968,2024-02-09,number anagrams,"['eon', 'ether', 'net', 'tow']"
969,2024-02-09,things you can draw,"['bath', 'card', 'curtain', 'picture']"
970,2024-02-09,broadcast,"['air', 'run', 'screen', 'show']"
971,2024-02-09,music player buttons,"['rewind', 'shuffle', 'skip', 'stop']"
972,2024-02-10,___fly,"['butter', 'dragon', 'fire', 'horse']"
973,2024-02-10,yoga poses,"['cat', 'cow', 'mountain', 'triangle']"
974,2024-02-10,cram into a tight space,"['jam', 'pack', 'squeeze', 'stuff']"
975,2024-02-10,stool pigeon,"['canary', 'fink', 'rat', 'snitch']"
976,2024-02-11,prefixes with -cracy,"['auto', 'bureau', 'demo', 'pluto']"
977,2024-02-11,captains,"['america', 'hook', 'morgan', 'nemo']"
978,2024-02-11,boats,"['barge', 'dory', 'scow', 'sloop']"
979,2024-02-11,monotonous sounds,"['buzz', 'drone', 'hum', 'purr']"
980,2024-02-12,movies minus numbers,"['apollo', 'candles', 'fantastic', 'samurai']"
981,2024-02-12,seen in “aladdin”,"['genie', 'monkey', 'parrot', 'princess']"
982,2024-02-12,costumes with striped shirts,"['mime', 'prisoner', 'referee', 'sailor']"
983,2024-02-12,bad things for a video call to do,"['drop', 'echo', 'freeze', 'lag']"
984,2024-02-13,go ___,"['bananas', 'figure', 'fish', 'steady']"
985,2024-02-13,grocery store aisles,"['dairy', 'frozen', 'produce', 'snack']"
986,2024-02-13,spherical foods,"['jawbreaker', 'meatball', 'mozzarella', 'orange']"
987,2024-02-13,"encourage, with ""on""","['egg', 'goad', 'spur', 'urge']"
988,2024-02-14,bear ___,"['claw', 'fruit', 'hug', 'witness']"
989,2024-02-14,sauces in chinese cuisine,"['oyster', 'plum', 'soy', 'xo']"
990,2024-02-14,kinds of numbers,"['odd', 'perfect', 'prime', 'whole']"
991,2024-02-14,touch lightly,"['brush', 'graze', 'kiss', 'skim']"
992,2024-02-15,britpop bands,"['blur', 'oasis', 'pulp', 'suede']"
993,2024-02-15,oven buttons,"['bake', 'broil', 'light', 'timer']"
994,2024-02-15,where you might find sand,"['beach', 'desert', 'hourglass', 'playground']"
995,2024-02-15,follow attentively,"['monitor', 'survey', 'track', 'watch']"
996,2024-02-16,things that can strike,"['cobra', 'inspiration', 'lightning', 'union']"
997,2024-02-16,programming languages,"['basic', 'java', 'python', 'ruby']"
998,2024-02-16,things made with feathers,"['boa', 'headdress', 'pillow', 'shuttlecock']"
999,2024-02-16,comfy shoes,"['croc', 'loafer', 'moccasin', 'slipper']"
1000,2024-02-17,___ circus,"['family', 'flea', 'flying', 'media']"
1001,2024-02-17,noun suffixes,"['dom', 'ion', 'ness', 'ship']"
1002,2024-02-17,media attention,"['coverage', 'exposure', 'press', 'publicity']"
1003,2024-02-17,bit of hair,"['curl', 'lock', 'ringlet', 'tress']"
1004,2024-02-18,___cast,"['broad', 'fore', 'pod', 'type']"
1005,2024-02-18,ingredients in minestrone,"['beans', 'pasta', 'stock', 'vegetables']"
1006,2024-02-18,pursue,"['hunt', 'track', 'trail', 'stalk']"
1007,2024-02-18,eat a little,"['graze', 'nibble', 'peck', 'snack']"
1008,2024-02-19,parts of a door,"['frame', 'handle', 'hinge', 'lock']"
1009,2024-02-19,workshop tools,"['drill', 'grinder', 'router', 'saw']"
1010,2024-02-19,mess up,"['blow', 'bumble', 'fluff', 'spoil']"
1011,2024-02-19,used in building a fire,"['kindling', 'log', 'match', 'tinder']"
1012,2024-02-20,vegetable homophones,"['beat', 'charred', 'leak', 'pee']"
1013,2024-02-20,bit of liquid,"['bead', 'drop', 'glob', 'tear']"
1014,2024-02-20,musical sections,"['brass', 'rhythm', 'string', 'wind']"
1015,2024-02-20,party pooper,"['bore', 'drag', 'drip', 'dud']"
1016,2024-02-21,school of ___,"['fish', 'hard knocks', 'rock', 'thought']"
1017,2024-02-21,they have keys,"['computer', 'piano', 'super', 'tests']"
1018,2024-02-21,tony winners for best musical,"['annie', 'cabaret', 'cats', 'company']"
1019,2024-02-21,pesters,"['badgers', 'bugs', 'hounds', 'nags']"
1020,2024-02-22,colors with their first letters changed,"['clue', 'frown', 'mellow', 'preen']"
1021,2024-02-22,origin,"['cradle', 'font', 'root', 'source']"
1022,2024-02-22,department,"['arm', 'branch', 'chapter', 'wing']"
1023,2024-02-22,dog sounds,"['bark', 'growl', 'howl', 'whine']"
1024,2024-02-23,things with spines,"['book', 'cactus', 'hedgehog', 'skeleton']"
1025,2024-02-23,what “blue” might mean,"['democratic', 'erotic', 'noble', 'sad']"
1026,2024-02-23,shades of green,"['olive', 'forest', 'lime', 'mint']"
1027,2024-02-23,procession,"['caravan', 'fleet', 'parade', 'train']"
1028,2024-02-24,weights in boxing,"['feather', 'heavy', 'light', 'middle']"
1029,2024-02-24,parts of fruit you might not eat,"['core', 'rind', 'seed', 'stem']"
